Timestamp,Mode,Exercise,Difficulty,UserAnswer,CorrectAnswer,Status,TimeTaken,Points
2026-03-11T18:54:08.302512,Multiplication,Multiplication,Medium,80,80,Correct,4.41,28
2026-03-11T18:58:43.634406,Multiplication,Multiplication,Medium,48,48,Correct,23.98,24
2026-03-11T18:59:00.795514,Multiplication,Multiplication,Medium,27,27,Correct,6.45,27
2026-03-11T19:00:37.915960,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:37.990670,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:38.069377,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:38.145335,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:38.218004,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:38.289449,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:38.353495,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:38.420030,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:38.492736,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:38.557479,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:38.621672,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:38.688263,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:38.754071,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:38.822526,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:38.888524,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:38.959539,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:39.023347,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:39.088325,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:39.151658,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:39.224239,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:39.294184,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:39.368774,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:39.434653,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:39.497528,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:39.562072,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:39.624563,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:39.691569,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:39.750941,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:39.811961,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:39.872689,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:39.934866,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:39.994774,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:40.061145,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:40.132775,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:40.199919,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:40.265473,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:40.334425,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:40.406357,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:40.478755,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:40.546051,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:40.611821,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:40.681412,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:40.751492,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:40.818759,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:40.887826,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:40.991645,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:41.061176,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:41.128222,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:41.192179,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:41.260938,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:41.339137,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:41.407793,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:41.481648,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:41.545523,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:41.636297,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:41.700517,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:41.763557,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:41.825087,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:41.889394,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:41.949270,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:42.011829,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:42.073854,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
2026-03-11T19:00:42.146070,Multiplication,Multiplication,Medium,0,0,Timeout,45.0,0
